PMC_ID,Molecule,Crystal_System,Space_Group,Sources,Chars,Preview
PMC-012,Imidazolium D-camphorsulfonate,monoclinic,P2₁,"Summary,Metadata,Paper,Structure",6652,"[Summary] Imidazolium D-camphorsulfonate (D-ImCS) is a metal-free organic molecular ionic crystal: an imidazolium cation paired with a homochiral D-camphorsulfonate anion, linked by N–H···O hydrogen-b"
PMC-013,Imidazolium L-camphorsulfonate,monoclinic,P2₁,"Summary,Metadata,Paper,Structure",6802,"[Summary] Imidazolium L-camphorsulfonate (L-ImCS) is a metal-free organic molecular ionic crystal: an imidazolium cation paired with a homochiral L-camphorsulfonate anion, linked by N–H···O hydrogen-b"
PMC-014,"2,2,3,3,4,4-Hexafluoropentane-1,5-diol (HFPD)",triclinic,P1,"Summary,Metadata,Paper,Structure",8341,"[Summary] 2,2,3,3,4,4-Hexafluoropentane-1,5-diol (HFPD) is a biodegradable ferroelectric molecular crystal with large piezoelectric response. It exhibits strong piezoelectricity with a piezoelectric c"
PMC-015,Triglycine Sulfate (TGS),monoclinic,P2₁,"Summary,Metadata,Paper,Structure",3263,"[Summary] Triglycine sulfate (TGS) is the archetypal organic hydrogen-bonded molecular ferroelectric: two glycinium cations, one neutral glycine, and one sulfate anion linked by N–H···O and O–H···O hy"
PMC-016,L-Histidinium tetrafluoroborate,Monoclinic,P21,"Summary,Metadata,Paper,Structure",6002,[Summary] L-Histidinium tetrafluoroborate (LHFB) single crystal - a piezoelectric amino acid molecular salt  [Metadata] Crystal ID: PMC-016  CCDC ID: 285490  CSD REFCODE: YEFPUV  Molecule Name: L-Hist
PMC-018,L-Asparagine Monohydrate,Orthorhombic,P212121,"Summary,Metadata,Paper,Structure",6162,"[Summary] L-Asparagine monohydrate (C4H8N2O3·H2O), chemical formula C4H10N2O4, molecular weight 150.14, is a pure molecular crystal hydrate (amino acid with incorporated water molecule) and experiment"
PMC-019,Diphenylalanine (FF) Peptide,Orthorhombic,P212121,"Summary,Metadata,Paper,Structure",6709,"[Summary] Diphenylalanine (FF) peptide, chemical formula C18H20N2O3·2(CH4O), molecular weight 364.40, is a self-assembling dipeptide building block (organic molecular crystal) and experimentally demon"
PMC-020,L-Valine,Monoclinic,P21,"Summary,Metadata,Paper,Structure",6939,"[Summary] L-Valine (C5H11NO2), chemical formula C5H11NO2, molecular weight 117.15, is a proteinogenic amino acid and organic molecular crystal. It crystallizes in the non-centrosymmetric, chiral monoc"
PMC-021,L-Leucine,Monoclinic,P21,"Summary,Metadata,Paper,Structure",7174,"[Summary] L-Leucine (C6H13NO2), chemical formula C6H13NO2, molecular weight 131.17, is a proteinogenic amino acid and essential organic molecular crystal. It crystallizes in the non-centrosymmetric, c"
PMC-022,Benzil,Trigonal,P3121,"Summary,Metadata,Paper,Structure",7328,"[Summary] Benzil (C14H10O2), chemical formula C14H10O2, molecular weight 242.23, is an organic non-linear optical (NLO) molecular crystal. It crystallizes in the non-centrosymmetric, chiral trigonal s"
PMC-023,Rochelle Salt,Monoclinic,P21,"Summary,Metadata,Paper,Structure",7545,"[Summary] Rochelle salt (potassium sodium tartrate tetrahydrate, KNaC4H4O6·4H2O), chemical formula KNaC4H4O6·4H2O, molecular weight 282.18, is an organic molecular salt crystal (hydrated). It crystall"
PMC-024,Imidazolium Perchlorate,Trigonal,R3m,"Summary,Metadata,Paper,Structure",6870,[Summary] Imidazolium Perchlorate - A molecular ferroelectric thin film on silicon substrate demonstrating high piezoelectric response  [Metadata] Crystal ID           : PMC-024  CIF File Name        
PMC-025,Brucinium Chloride Dihydrate,Monoclinic,C2,"Summary,Metadata,Paper,Structure",6706,"[Summary] Brucinium Chlorate Dihydrate (BCDH) - A new organic molecular salt crystal with non-centrosymmetric monoclinic structure, demonstrating piezoelectric and nonlinear optical properties for opt"
PMC-026,Glycinium Sulfamate–Glycine,Monoclinic,Pn,"Summary,Metadata,Paper,Structure",7025,"[Summary] Glycinium Sulfamate–Glycine - An organic ionic molecular cocrystal demonstrating piezoelectric response through engineered non-centrosymmetric crystal structure, combining glycine, sulfamic "
PMC-027,Cbz-4-fluoro-L-phenylalanine,Monoclinic,C 1 2 1,"Summary,Metadata,Paper,Structure",6856,[Summary] Cbz-4-fluoro-L-phenylalanine (Cbz-Phe(4F)) - A high piezoelectric amino acid derivative with fluorinated aromatic side chain. Non-centrosymmetric monoclinic crystal structure enabling piezoe
PMC-028,L-Methionine,Monoclinic,P21,"Summary,Metadata,Paper,Structure",7800,"[Summary] L-Methionine, chemical formula C5H11NO2S, molecular weight 149.21, is a single-component amino acid organic molecular crystal. It crystallizes in the non-centrosymmetric, polar monoclinic sp"
PMC-029,3-Hydroxy-1H-phenalen-1-one,Monoclinic,Pn,"Summary,Metadata,Paper,Structure",8385,"[Summary] 3-Hydroxy-1H-phenalen-1-one (HPLN), chemical formula C13H8O2, molecular weight 196.20, is a single-component organic molecular crystal and a prototropic ferroelectric. It crystallizes in the"
PMC-030,2-Methyl-4-nitroaniline,Monoclinic,Ia,"Summary,Metadata,Paper,Structure",8221,"[Summary] 2-Methyl-4-nitroaniline (MNA), chemical formula C7H8N2O2, molecular weight 152.15, is a single-component organic molecular crystal exhibiting strong piezoelectric and nonlinear optical prope"
PMC-031,2-Chloro-3-hydroxypyridine,Orthorhombic,Fdd2,"Summary,Metadata,Paper,Structure",8358,"[Summary] 2-Chloro-3-hydroxypyridine (2-Cl-pyridin-3-ol), chemical formula C5H4ClNO, molecular weight 129.54, is a single-component organic molecular crystal exhibiting exceptional shear piezoelectric"
PMC-032,2-Bromo-3-hydroxypyridine,Orthorhombic,Pna21,"Summary,Metadata,Paper,Structure",8502,"[Summary] 2-Bromo-3-hydroxypyridine (2-Br-pyridin-3-ol), chemical formula C5H4BrNO, molecular weight 174.00, is a single-component organic molecular crystal exhibiting large shear piezoelectric proper"
PMC-033,2-Iodo-3-hydroxypyridine,Orthorhombic,Pna21,"Summary,Metadata,Paper,Structure",7685,"[Summary] 2-Iodo-3-hydroxypyridine (1I), chemical formula C5H4INO, molecular weight 220.99, is a single-component organic molecular crystal. It crystallizes in the non-centrosymmetric, polar orthorhom"
PMC-034,L-Isoleucine,Monoclinic,P21,"Summary,Metadata,Paper,Structure",6711,"[Summary] L-Isoleucine, chemical formula C6H13NO2, molecular weight 131.17, is a pure organic molecular crystal without solvent or hydrate. It crystallizes in the non-centrosymmetric, polar monoclinic"
PMC-035,L-Arginine,Monoclinic,P21,"Summary,Metadata,Paper,Structure",6947,"[Summary] L-Arginine, chemical formula C6H14N4O2, molecular weight 174.20, is a pure organic molecular crystal without solvent or hydrate. It crystallizes in the non-centrosymmetric, polar monoclinic "
PMC-036,L-Threonine,Orthorhombic,P212121,"Summary,Metadata,Paper,Structure",7489,"[Summary] L-Threonine, chemical formula C4H9NO3, molecular weight 119.12, is a pure organic molecular crystal amino acid polymorph I. It crystallizes in the non-centrosymmetric, polar orthorhombic spa"
PMC-037,N-Acetyl-L-Tryptophan,Orthorhombic,P212121,"Summary,Metadata,Paper,Structure",8539,"[Summary] N-Acetyl-L-Tryptophan (L-AcW), chemical formula C13H14N2O3, molecular weight 246.26, is a pure organic molecular crystal, an N-terminally acetylated aromatic amino acid. It crystallizes in t"
PMC-038,L-Tyrosine,Orthorhombic,P212121,"Summary,Metadata,Paper,Structure",9344,"[Summary] L-Tyrosine (L-Tyr), chemical formula C9H11NO3, molecular weight 181.19, is a pure organic molecular crystal, a natural aromatic amino acid with a hydroxyl group on the phenolic ring. It crys"
PMC-039,DL-Alanine,Orthorhombic,Pna21,"Summary,Metadata,Paper,Structure",10520,"[Summary] DL-Alanine (DL-Ala), chemical formula C3H7NO2, molecular weight 89.10, is a racemic mixture crystal of amino acids, consisting of equal parts L- and D-alanine enantiomers. It crystallizes in"
PMC-040,L-Argininium phosphite,Monoclinic,P21,"Summary,Metadata,Paper,Structure",12235,"[Summary] L-Argininium phosphite (LAPI), chemical formula C6H17N4O5P, molecular weight 256.20, is a nonlinear optical single-crystal salt combining the cationic L-arginine amino acid and the monoanion"
PMC-017,trans-4-Hydroxy-L-proline,Orthorhombic,P212121,"Summary,Metadata,Paper,Structure",6647,[Summary] trans-4-Hydroxy-L-proline - a piezoelectric biomolecular amino acid crystal used in molded solid-state assemblies  [Metadata] Crystal ID: PMC-017  CCDC ID: 1177934  CSD REFCODE: HOPROL12  Mo
PMC-042,L-Phenylalanyl-L-leucine,Orthorhombic,P212121,"Summary,Metadata,Paper,Structure",7222,[Summary] L-Phenylalanyl-L-leucine (Phe-Leu) dipeptide crystal - a biocompatible organic piezoelectric material studied by piezoresponse force microscopy  [Metadata] Crystal ID: PMC-042  CCDC ID: 1633
PMC-045,Fmoc-diphenylalanine hydrate,Monoclinic,C2,"Summary,Metadata,Paper,Structure",7550,[Summary] Fmoc-diphenylalanine (Fmoc-FF) hydrate - a piezoelectric self-assembling peptide nanomaterial  [Metadata] Crystal ID: PMC-045  CCDC ID: 1027570  CSD REFCODE: Not yet determined (CCDC 1027570
PMC-046,Cyclo-glycine-L-tryptophan,Monoclinic,P21,"Summary,Metadata,Paper,Structure",7684,[Summary] Cyclo-glycine-L-tryptophan (cyclo-GW) single crystal - a piezoelectric cyclic dipeptide for energy harvesting  [Metadata] Crystal ID: PMC-046  CCDC ID: 1823369  CSD REFCODE: Not yet determin
